home_score,away_score,home_team,away_team,fixture_date
0,3,Aberdeen,St Mirren,2025-01-25
3,2,Hearts,Kilmarnock,2025-01-25
2,1,St Johnstone,Motherwell,2025-01-25
1,3,Dundee United,Rangers,2025-01-26
0,1,St Mirren,St Johnstone,2025-02-01
0,6,Dundee,Hearts,2025-02-01
2,0,Hibernian,Aberdeen,2025-02-01
1,0,Kilmarnock,Dundee United,2025-02-01
1,3,Motherwell,Celtic,2025-02-02
4,0,Rangers,Ross County,2025-02-02
6,0,Celtic,Dundee,2025-02-05
3,0,Celtic,Dundee United,2025-02-15
3,1,Kilmarnock,St Johnstone,2025-02-15
1,2,Dundee,Aberdeen,2025-02-15
0,3,Motherwell,Ross County,2025-02-15
1,3,Hearts,Rangers,2025-02-16
0,0,St Mirren,Hibernian,2025-02-16
2,1,Hibernian,Celtic,2025-02-22
3,1,Ross County,Dundee,2025-02-22
1,0,Dundee United,Motherwell,2025-02-22
0,2,Rangers,St Mirren,2025-02-22
1,0,Aberdeen,Kilmarnock,2025-02-22
1,2,St Johnstone,Hearts,2025-02-23
5,1,Celtic,Aberdeen,2025-02-25
3,1,Hearts,St Mirren,2025-02-26
1,3,Dundee United,Hibernian,2025-02-26
2,1,Motherwell,Dundee,2025-02-26
1,0,St Johnstone,Ross County,2025-02-26
2,4,Kilmarnock,Rangers,2025-02-26
1,0,Ross County,Kilmarnock,2025-03-01
1,1,Dundee,St Johnstone,2025-03-01
1,2,Rangers,Motherwell,2025-03-01
2,5,St Mirren,Celtic,2025-03-01
2,1,Hibernian,Hearts,2025-03-02
2,2,Aberdeen,Dundee United,2025-03-02
2,2,Motherwell,St Mirren,2025-03-15
0,0,St Johnstone,Aberdeen,2025-03-15
1,1,Kilmarnock,Hibernian,2025-03-15
2,0,Hearts,Ross County,2025-03-15
2,3,Celtic,Rangers,2025-03-16
2,4,Dundee United,Dundee,2025-03-16
3,0,Celtic,Hearts,2025-03-29
4,1,Aberdeen,Motherwell,2025-03-29
5,1,St Mirren,Kilmarnock,2025-03-29
3,0,Hibernian,St Johnstone,2025-03-29
3,4,Dundee,Rangers,2025-03-29
0,1,Ross County,Dundee United,2025-03-30
2,0,Dundee,St Mirren,2025-04-05
0,1,Ross County,Aberdeen,2025-04-05
2,0,Kilmarnock,Motherwell,2025-04-05
0,2,Rangers,Hibernian,2025-04-05
1,0,St Johnstone,Celtic,2025-04-06
0,1,Hearts,Dundee United,2025-04-06
5,1,Celtic,Kilmarnock,2025-04-12
1,0,Dundee United,St Johnstone,2025-04-12
0,0,Motherwell,Hearts,2025-04-12
3,2,St Mirren,Ross County,2025-04-12
2,2,Aberdeen,Rangers,2025-04-13
4,0,Hibernian,Dundee,2025-04-13
